field,hlb,qpcr
ALCO202602,2,21.173309
ALCO202602,2,25.632424
ALCO202602,2,20.715935
ALCO202602,2,20.297787
ALCO202602,2,24.923006
ALCO202602,2,23.381094
ALCO202602,2,22.043103
ALCO202602,2,21.431903
ALCO202602,2,21.897043
ALCO202602,2,24.445339
ALCO202602,2,19.890427
ALCO202602,2,19.909546
ALCO202602,2,23.045345
ALCO202602,2,23.307519
ALCO202602,2,20.581537
ALCO202602,2,21.279767
ALCO202602,2,26.108941
ALCO202602,2,24.926192
ALCO202602,2,25.441956
ALCO202602,2,25.914895
ALCO202602,2,23.753225
ALCO202602,2,25.77229
ALCO202602,2,27.558879
ALCO202602,2,28.021262
ALCO202602,2,26.777849
ALCO202602,1,24.090025
ALCO202602,2,23.926996
ALCO202602,2,25.823564
ALCO202602,2,24.999003
ALCO202602,2,24.301261
ALCO202602,1,24.232105
ALCO202602,2,25.125501
ALCO202602,2,25.159856
ALCO202602,2,24.370971
ALCO202602,2,24.736977
ALCO202602,2,27.364866
ALCO202602,2,23.08358
ALCO202602,2,23.619791
ALCO202602,2,23.742469
ALCO202602,2,24.607618
ALCO202602,2,23.958404
ALCO202602,2,24.913875
ALCO202602,1,24.866735
ALCO202602,2,25.481747
ALCO202602,2,22.730557
ALCO202602,2,25.538823
ALCO202602,2,24.654359
ALCO202602,2,21.17998
ALCO202602,2,24.724827
ALCO202602,2,22.345858
ALCO202602,2,24.562608
ALCO202602,2,20.697912
ALCO202602,2,25.664042
ALCO202602,2,23.348102
ALCO202602,2,23.165717
ALCO202602,2,22.622903
ALCO202602,2,24.021099
ALCO202602,2,23.060841
ALCO202602,2,25.268986
ALCO202602,2,25.22855
ALCO202602,2,23.054735
ALCO202602,2,28.195954
ALCO202602,2,27.109708
ALCO202602,2,24.954168
ALCO202602,2,25.890775
ALCO202602,2,23.475437
ALCO202602,2,25.837605
ALCO202602,2,25.6811
ALCO202602,1,25.83726
ALCO202602,2,21.908516
ALCO202602,2,22.604034
ALCO202602,2,22.622978
ALCO202602,2,27.045449
ALCO202602,2,27.587379
ALCO202602,2,23.890443
ALCO202602,2,28.498325
ALCO202602,2,25.779231
ALCO202602,2,24.956856
ALCO202602,2,23.693777
ALCO202602,2,27.625376
ALCO202602,2,23.00724
ALCO202602,2,22.503863
ALCO202602,2,24.016094
ALCO202602,2,23.310177
ALCO202602,2,24.012211
ALCO202602,2,27.122495
ALCO202602,2,28.104236
ALCO202602,2,28.887406
ALCO202602,2,26.609382
ALCO202602,1,23.996305
ALCO202602,2,26.16439
ALCO202602,2,24.682537
ALCO202602,2,25.657179
ALCO202602,2,25.884562
ALCO202602,2,25.503491
ALCO202602,2,23.532398
ALCO202602,2,26.401409
ALCO202602,2,28.293682
ALCO202602,2,26.589188
ALCO202602,2,28.667882
ALCO202602,2,26.384181
ALCO202602,2,23.505792
ALCO202602,2,29.034402
ALCO202602,2,25.478515
ALCO202602,2,26.077736
ALCO202602,2,24.640138
ALCO202602,2,24.334847
ALCO202602,2,27.0794
ALCO202602,2,32.101582
ALCO202602,2,22.694033
ALCO202602,2,23.080172
ALCO202602,2,21.862063
ALCO202602,2,23.757148
ALCO202602,2,25.20869
ALCO202602,2,25.379516
ALCO202602,2,23.662001
ALCO202602,2,24.283847
ALCO202602,2,25.97665
ALCO202602,2,22.23515
ALCO202602,2,24.499597
ALCO202602,2,23.926989
ALCO202602,2,23.337566
ALCO202602,2,24.208677
ALCO202602,2,24.48675
ALCO202602,2,23.969077
ALCO202602,1,24.296202
ALCO202602,2,25.955951
ALCO202602,2,27.166526
ALCO202602,2,27.181176
ALCO202602,2,24.396365
ALCO202602,2,23.671218
ALCO202602,2,23.464355
ALCO202602,2,25.195161
ALCO202602,2,23.361764
ALCO202602,2,28.865961
ALCO202602,2,24.206862
ALCO202602,2,32.166466
ALCO202602,2,22.926868
ALCO202602,2,24.583983
ALCO202602,2,24.208247
ALCO202602,3,25.638113
ALCO202602,1,23.91312
ALCO202602,2,23.553867
ALCO202602,2,31.001346
ALCO202602,2,26.837937
ALCO202602,2,23.767532
ALCO202602,2,26.940141
ALCO202602,2,23.167285
ALCO202602,2,24.695548
ALCO202602,2,24.754999
ALCO202602,2,24.256857
ALCO202602,2,24.462918
ALCO202602,2,22.485357
ALCO202602,2,21.800821
ALCO202602,2,20.566249
ALCO202602,2,22.851062
ALCO202602,2,21.655463
ALCO202602,2,24.183673
ALCO202602,2,22.328951
ALCO202602,2,22.959893
ALCO202602,2,23.309618
ALCO202602,2,24.12698
ALCO202602,2,20.842404
ALCO202602,2,19.456688
ALCO202602,2,23.31986
ALCO202602,2,21.650886
ALCO202602,2,22.917419
ALCO202602,2,22.115899
ALCO202602,2,22.100359
ALCO202602,2,21.154704
ALCO202602,2,23.584706
ALCO202602,2,23.289038
ALCO202602,2,21.469031
ALCO202602,2,22.431532
ALCO202602,2,25.654119
ALCO202602,2,22.095491
ALCO202602,2,22.775296
ALCO202602,2,22.868073
ALCO202602,2,23.626246
ALCO202602,2,22.74508
ALCO202602,2,27.021705
ALCO202602,2,27.387006
ALCO202602,2,21.327355
ALCO202602,2,22.756061
ALCO202602,2,20.965402
ALCO202602,2,21.661777
ALCO202602,2,25.904674
ALCO202602,2,21.074055
ALCO202602,1,21.837413
ALCO202602,2,23.505021
ALCO202602,2,22.159622
ALCO202602,2,22.575734
ALCO202602,2,22.075704
ALCO202602,2,22.008109
ALCO202602,2,21.880097
ALCO202602,2,24.793013
ALCO202602,2,24.120341
ALCO202602,2,23.066692
ALCO202602,2,20.692732
ALCO202602,2,23.177436
ALCO202602,2,21.853942
ALCO202602,2,23.236904
ALCO202602,2,22.240721
ALCO202602,2,22.280453
ALCO202602,2,22.374172
ALCO202602,2,25.747621
ALCO202602,2,22.710837
ALCO202602,2,21.1127
BTMN202403,1,18.52776
BTMN202403,1,17.88482
BTMN202403,2,19.166435
BTMN202403,1,19.583985
BTMN202403,1,20.1089
BTMN202403,1,18.418155
BTMN202403,1,18.99701
BTMN202403,1,19.720235
BTMN202403,2,19.389375
BTMN202403,1,19.53375
BTMN202403,1,19.392855
BTMN202403,2,19.99642
BTMN202403,2,19.77831
BTMN202403,1,20.539265
BTMN202403,2,19.602365
BTMN202403,1,20.81618
BTMN202403,1,21.78591
BTMN202403,2,21.947815
BTMN202403,2,24.290565
BTMN202403,3,24.15636
BTMN202403,3,27.0827
BTMN202403,2,23.066685
BTMN202403,2,33.983645
BTMN202403,1,25.173295
BTMN202403,2,22.44853
BTMN202403,1,22.467
BTMN202403,1,23.15759
BTMN202403,2,23.776685
BTMN202403,1,24.5818
BTMN202403,1,22.15712
BTMN202403,1,19.993975
BTMN202403,3,20.91553
BTMN202403,2,19.535415
BTMN202403,1,21.616415
BTMN202403,1,22.07128
BTMN202403,2,25.1456
BTMN202403,3,22.015775
BTMN202403,2,20.13003
BTMN202403,3,23.296855
BTMN202403,2,21.314705
BTMN202403,2,21.09855
BTMN202403,2,22.67363
BTMN202403,2,21.63901
BTMN202403,3,21.09621
BTMN202403,3,22.283315
BTMN202403,2,22.941565
BTMN202403,2,20.226595
BTMN202403,2,23.3256
BTMN202403,2,20.369225
BTMN202403,2,20.147325
BTMN202403,2,21.659905
BTMN202403,1,26.116655
BTMN202403,2,24.302185
BTMN202403,2,22.52392
BTMN202403,2,24.077815
BTMN202403,1,21.565325
BTMN202403,1,19.742765
BTMS202409,1,23.370383
BTMS202409,1,22.917778
BTMS202409,2,24.312459
BTMS202409,1,24.105251
BTMS202409,2,26.466831
BTMS202409,2,26.954056
BTMS202409,4,26.520635
BTMS202409,2,27.007545
BTMS202409,1,25.246274
BTMS202409,1,25.05244
BTMS202409,2,24.05235
BTMS202409,1,23.840182
BTMS202409,1,23.538864
BTMS202409,1,23.413523
BTMS202409,2,25.604342
BTMS202409,2,23.991489
BTMS202409,2,24.168742
BTMS202409,3,28.04466
BTMS202409,2,25.261009
BTMS202409,2,27.670395
BTMS202409,1,23.263571
BTMS202409,1,28.134482
BTMS202409,1,23.208758
BTMS202409,1,22.888599
BTMS202409,1,23.900071
BTMS202409,2,28.161513
BTMS202409,2,24.589533
BTMS202409,1,22.261779
BTMS202409,1,22.163003
BTMS202409,1,21.469028
BTMS202409,3,27.681077
BTMS202409,2,22.598442
BTMS202409,2,22.189033
BTMS202409,2,27.287798
BTMS202409,2,25.042361
BTMS202409,1,22.436796
BTMS202409,1,22.678918
BTMS202409,2,26.010425
BTMS202409,1,29.16723
BTMS202409,2,23.140208
BTMS202409,1,23.071518
BTMS202409,1,24.021922
BTMS202409,2,29.125896
BTMS202409,1,23.273774
BTMS202409,1,22.661587
BTMS202409,1,23.789233
BTMS202409,1,24.121023
BTMS202409,3,26.981255
BTMS202409,3,27.181469
BTMS202409,3,28.475182
BTMS202409,2,28.016556
BTMS202409,2,26.336517
BTMS202409,2,31.256296
BTMS202409,1,26.928553
BTMS202409,1,27.756869
BTMS202409,2,24.757648
BTMS202409,2,30.856802
BTMS202409,2,26.180036
BTMS202409,2,29.985062
BTMS202409,1,26.095433
BTMS202409,2,24.899961
BTMS202409,2,24.77368
BTMS202409,2,24.747322
BTMS202409,2,24.814441
BTMS202409,1,19.29489
BTMS202409,2,20.655581
BTMS202409,2,21.620574
BTMS202409,2,23.139387
BTMS202409,2,24.675378
BTMS202409,1,21.964082
BTMS202409,2,24.274282
BTMS202409,2,23.941431
BTMS202409,2,22.40589
BTMS202409,1,25.123372
BTMS202409,2,24.1127
BTMS202409,2,23.746732
BTMS202409,2,23.291289
BTMS202409,2,28.084318
BTMS202409,2,24.841613
BTMS202409,2,22.860728
BTMS202409,2,23.84014
BTMS202409,2,21.441546
BTMS202409,2,22.631966
BTMS202409,2,21.666508
BTMS202409,2,21.628322
BTMS202409,2,23.406722
BTMS202409,2,21.893197
BTMS202409,2,23.357227
BTMS202409,2,21.960895
BTMS202409,1,23.602707
BTMS202409,2,35.756134
BTMS202409,3,21.74021
BTMS202409,2,24.848699
BTMS202409,1,22.501784
BTMS202409,2,23.34947
BTMS202409,1,24.187545
BTMS202409,2,27.40741
BTMS202409,2,21.667125
BTMS202409,2,21.090308
BTMS202409,2,28.51895
BTMS202409,1,20.429762
BTMS202409,2,21.622251
BTMS202409,1,20.348908
BTMS202409,1,26.887465
BTMS202409,2,32.966045
BTMS202409,2,20.446043
BTMS202409,2,21.94606
BTMS202409,2,31.933104
BTMS202409,1,22.919346
BTMS202409,2,21.32542
BTMS202409,1,21.744168
BTMS202409,1,23.453565
BTMS202409,2,23.240906
BTMS202409,1,25.021826
BTMS202409,2,21.664889
BTMS202409,1,20.433458
BTMS202409,2,21.119846
BTMS202409,2,24.024705
BTMS202409,3,22.557465
BTMS202409,2,21.922051
BTMS202409,2,21.997841
BTMS202409,2,23.695526
BTMS202409,2,22.19574
BTMS202409,2,23.578134
BTMS202409,2,21.744146
BTMS202409,2,21.650367
BTMS202409,2,22.611622
BTMS202409,1,21.662808
BTMS202409,1,20.956864
BTMS202409,1,22.587478
BTMS202409,2,23.784413
BTMS202409,2,24.417496
BTMS202409,1,21.45243
BTMS202409,2,21.339865
BTMS202409,2,21.517349
BTMS202409,2,22.623338
BTMS202409,2,26.115652
BTMS202409,2,23.517737
BTMS202409,2,20.794184
BTMS202409,1,21.853996
BTMS202409,2,22.236038
BTMS202409,2,25.982274
BTMS202409,1,24.756661
BTMS202409,1,22.113901
BTMS202409,1,30.961742
BTMS202409,2,32.302254
BTMS202409,1,23.807919
BTMS202409,2,21.940113
BTMS202409,1,24.466967
BTMS202409,1,23.340327
BTMS202409,2,23.995218
BTMS202409,2,24.553866
BTMS202409,1,27.578077
BTMS202409,1,24.281751
BTMS202409,2,23.795677
BTMS202409,2,21.915532
BTMS202409,2,22.509785
BTMS202409,2,23.868462
BTMS202409,2,25.870937
BTMS202409,2,24.284549
BTMS202409,1,25.671147
BTMS202409,1,22.376262
BTMS202409,2,25.018592
BTMS202409,2,23.711323
BTMS202409,2,24.797832
BTMS202409,2,24.613935
BTMS202409,2,23.048156
BTMS202409,2,22.167914
BTMS202409,2,24.796403
BTMS202409,1,22.746382
BTMS202409,2,23.708463
BTMS202409,1,23.38417
BTMS202409,1,25.928148
BTMS202409,2,21.905388
BTMS202409,2,22.363428
BTMS202502,1,20.129852
BTMS202502,1,19.612818
BTMS202502,1,20.871225
BTMS202502,2,22.823517
BTMS202502,2,22.584297
BTMS202502,2,21.905771
BTMS202502,2,21.008816
BTMS202502,2,30.256723
BTMS202502,2,30.6465
BTMS202502,2,20.917458
BTMS202502,2,24.277893
BTMS202502,1,20.457932
BTMS202502,2,20.239836
BTMS202502,1,20.885857
BTMS202502,2,21.021069
BTMS202502,2,20.554623
BTMS202502,2,28.857689
BTMS202502,2,36.812647
BTMS202502,2,30.497241
BTMS202502,2,24.616799
BTMS202502,2,20.771162
BTMS202502,1,21.944123
BTMS202502,1,22.515146
BTMS202502,2,33.434093
BTMS202502,2,24.155931
BTMS202502,2,21.833043
BTMS202502,2,20.788644
BTMS202502,2,24.552578
BTMS202502,2,21.949976
BTMS202502,2,22.214843
BTMS202502,2,27.266684
BTMS202502,2,24.876894
BTMS202502,2,20.819391
BTMS202502,2,20.770226
BTMS202502,2,30.372901
BTMS202502,2,27.21974
BTMS202502,2,21.602127
BTMS202502,2,21.035524
BTMS202502,2,23.352745
BTMS202502,2,25.834331
BTMS202502,1,20.959572
BTMS202502,1,21.214624
BTMS202502,2,21.92754
BTMS202502,2,19.923436
BTMS202502,2,21.706913
BTMS202502,2,25.464603
BTMS202502,2,21.92074
BTMS202502,2,20.791069
BTMS202502,2,22.495817
BTMS202502,1,23.329271
BTMS202502,1,20.382715
BTMS202502,1,19.63735
BTMS202502,1,23.675688
BTMS202502,2,23.290937
BTMS202502,2,23.427444
BTMS202502,2,20.94479
BTMS202502,1,22.320076
BTMS202502,2,21.894587
BTMS202502,1,21.225615
BTMS202502,2,21.219801
BTMS202502,2,20.567808
BTMS202502,1,22.25259
BTMS202502,2,21.811382
BTMS202502,2,19.115385
BTMS202502,2,20.047354
BTMS202502,2,22.462886
BTMS202502,2,22.9231
BTMS202502,1,19.460845
BTMS202502,2,20.088084
BTMS202502,2,20.32237
BTMS202502,2,20.176874
BTMS202502,2,27.415226
BTMS202502,2,23.91896
BTMS202502,2,19.443479
BTMS202502,2,19.155044
BTMS202502,2,27.822026
BTMS202502,2,23.9171
BTMS202502,1,20.677278
BTMS202502,1,22.859871
BTMS202502,1,23.089954
BTMS202502,1,27.195079
BTMS202502,2,22.309651
BTMS202502,2,22.611412
BTMS202502,2,22.049644
BTMS202502,2,21.836086
BTMS202502,2,27.196777
BTMS202502,2,24.654408
BTMS202502,2,33.45796
BTMS202502,2,24.880867
BTMS202502,2,23.528292
BTMS202502,2,23.004066
BTMS202502,2,22.40165
BTMS202502,2,21.924418
BTMS202502,2,24.217849
BTMS202502,2,27.564959
BTMS202502,2,23.749133
BTMS202502,2,23.010542
BTMS202502,2,24.613312
BTMS202502,2,22.89177
BTMS202502,2,25.824254
BTMS202502,2,23.928267
BTMS202502,2,23.887547
BTMS202502,2,24.446419
BTMS202502,2,24.614371
BTMS202502,2,25.977413
BTMS202502,2,22.894871
BTMS202502,2,23.391899
BTMS202502,1,24.183812
BTMS202502,2,33.371033
BTMS202502,2,27.618199
BTMS202502,2,25.55267
BTMS202502,2,19.622404
BTMS202502,2,20.431978
BTMS202502,2,23.033836
BTMS202502,3,27.841194
BTMS202502,3,21.482431
BTMS202502,3,20.181404
BTMS202502,3,26.13427
BTMS202502,1,19.841564
BTMS202502,2,23.474297
BTMS202502,2,26.560049
BTMS202502,1,22.654095
BTMS202502,2,22.015963
BTMS202502,2,23.52738
BTMS202502,2,36.188446
BTMS202502,1,22.838798
BTMS202502,1,22.630628
BTMS202502,2,23.931628
BTMS202502,2,22.163906
BTMS202502,2,23.188726
BTMS202502,2,24.430881
BTMS202502,1,23.465483
BTMS202502,2,22.99171
BTMS202502,2,24.939092
BTMS202502,2,24.088986
BTMS202502,2,25.443173
BTMS202502,2,25.624465
BTMS202502,1,22.967112
BTMS202502,1,21.300493
BTMS202502,2,22.91406
BTMS202502,2,22.290678
BTMS202502,1,22.321311
BTMS202502,1,21.277601
BTMS202502,1,21.356924
BTMS202502,2,34.539062
BTMS202502,2,25.142365
BTMS202502,2,23.356516
BTMS202502,1,20.612964
BTMS202502,1,20.811217
BTMS202502,2,22.893236
BTMS202502,2,22.947999
BTMS202502,1,28.134121
BTMS202502,1,22.460846
BTMS202502,2,21.348757
BTMS202502,1,23.999171
BTMS202502,2,22.761962
BTMS202502,2,22.263142
BTMS202502,2,35.740824
BTMS202502,2,21.080184
BTMS202502,2,25.061903
BTMS202502,2,21.801467
BTMS202502,2,23.13966
BTMS202502,2,22.817299
BTMS202502,2,21.71385
BTMS202502,2,28.427259
BTMS202502,2,23.481503
BTMS202502,2,21.523605
BTMS202502,4,24.293869
BTMS202502,2,20.876412
BTMS202502,1,22.183163
BTMS202502,2,23.102008
BTMS202502,2,23.057488
BTMS202502,2,22.918826
BTMS202502,2,23.039413
BTMS202507,1,23.001925
BTMS202507,1,20.33019
BTMS202507,1,21.980329
BTMS202507,2,23.152641
BTMS202507,2,23.699244
BTMS202507,2,21.89113
BTMS202507,2,23.635128
BTMS202507,2,22.854099
BTMS202507,2,25.170215
BTMS202507,2,26.634253
BTMS202507,2,24.642737
BTMS202507,1,20.226974
BTMS202507,1,18.51765
BTMS202507,1,20.388412
BTMS202507,1,21.340945
BTMS202507,1,21.370943
BTMS202507,2,24.127058
BTMS202507,2,24.116807
BTMS202507,2,26.74869
BTMS202507,2,26.905678
BTMS202507,1,31.547702
BTMS202507,1,23.743567
BTMS202507,1,24.795705
BTMS202507,1,21.758988
BTMS202507,1,22.174648
BTMS202507,2,22.851106
BTMS202507,2,25.152947
BTMS202507,1,21.693041
BTMS202507,1,21.982239
BTMS202507,2,22.952636
BTMS202507,2,21.916587
BTMS202507,1,21.893003
BTMS202507,2,25.648773
BTMS202507,2,25.747418
BTMS202507,1,22.762608
BTMS202507,1,19.858688
BTMS202507,2,21.523843
BTMS202507,2,25.909886
BTMS202507,2,21.582814
BTMS202507,1,26.078199
BTMS202507,2,25.479273
BTMS202507,2,30.650193
BTMS202507,1,23.991833
BTMS202507,1,23.501815
BTMS202507,2,23.293138
BTMS202507,1,23.37919
BTMS202507,2,24.075246
BTMS202507,2,22.742148
BTMS202507,2,21.396274
BTMS202507,1,22.34894
BTMS202507,1,22.398366
BTMS202507,1,23.346727
BTMS202507,1,22.523922
BTMS202507,1,19.364845
BTMS202507,2,21.266116
BTMS202507,1,26.601439
BTMS202507,1,24.888203
BTMS202507,2,36.972038
BTMS202507,2,23.223945
BTMS202507,1,21.748925
BTMS202507,2,21.20475
BTMS202507,2,21.113192
BTMS202507,1,22.5867
BTMS202507,1,22.974492
BTMS202507,1,23.056258
BTMS202507,2,21.037459
BTMS202507,2,24.14723
BTMS202507,2,25.875008
BTMS202507,1,23.398479
BTMS202507,1,25.990057
BTMS202507,1,22.091429
BTMS202507,1,21.928701
BTMS202507,1,25.26154
BTMS202507,2,25.811466
BTMS202507,2,23.987504
BTMS202507,2,22.810105
BTMS202507,2,28.50134
BTMS202507,2,27.604108
BTMS202507,2,22.858765
BTMS202507,2,22.799809
BTMS202507,1,26.294841
BTMS202507,2,26.109847
BTMS202507,2,22.633474
BTMS202507,1,23.199543
BTMS202507,1,22.68139
BTMS202507,2,26.529298
BTMS202507,2,26.141406
BTMS202507,2,23.504463
BTMS202507,1,23.915434
BTMS202507,2,23.030362
BTMS202507,2,24.618798
BTMS202507,2,23.587473
BTMS202507,1,22.448573
BTMS202507,1,23.078839
BTMS202507,2,22.884352
BTMS202507,2,25.507668
BTMS202507,1,22.141044
BTMS202507,1,22.476459
BTMS202507,2,23.901945
BTMS202507,2,23.288302
BTMS202507,1,22.985853
BTMS202507,2,25.191303
BTMS202507,2,22.792649
BTMS202507,2,20.773013
BTMS202507,2,20.917906
BTMS202507,2,22.078881
BTMS202507,2,23.58298
BTMS202507,2,20.032609
BTMS202507,1,20.782349
BTMS202507,1,23.847391
BTMS202507,2,21.680344
BTMS202507,1,21.323089
BTMS202507,2,21.934935
BTMS202507,2,21.700821
BTMS202507,2,21.645306
BTMS202507,2,21.119834
BTMS202507,1,21.981083
BTMS202507,2,27.526721
BTMS202507,2,21.237706
BTMS202507,2,22.866413
BTMS202507,2,22.09398
BTMS202507,2,24.05841
BTMS202507,2,22.83911
BTMS202507,2,22.015605
BTMS202507,2,22.083365
BTMS202507,2,22.521205
BTMS202507,1,21.716463
BTMS202507,1,20.384212
BTMS202507,1,19.758335
BTMS202507,1,19.75153
BTMS202507,2,21.567557
BTMS202507,2,20.916044
BTMS202507,1,20.18755
BTMS202507,1,20.905288
BTMS202507,2,21.234359
BTMS202507,2,21.463684
BTMS202507,2,37.090912
BTMS202507,2,23.049627
BTMS202507,2,21.906841
BTMS202507,1,20.357833
BTMS202507,2,38.718113
BTMS202507,2,23.710046
BTMS202507,1,22.410278
BTMS202507,1,22.408545
BTMS202507,2,11.432492
BTMS202507,2,16.491716
BTMS202507,1,21.156288
BTMS202507,1,20.980415
BTMS202507,1,21.443469
BTMS202507,1,21.15083
BTMS202507,2,21.468531
BTMS202507,2,24.659616
BTMS202507,2,29.707989
BTMS202507,1,21.841625
BTMS202507,2,22.355554
BTMS202507,1,20.307111
BTMS202507,2,21.29143
BTMS202507,1,20.907227
BTMS202507,2,24.029106
BTMS202507,2,20.364704
BTMS202507,2,26.000392
BTMS202507,1,21.594254
BTMS202507,2,21.992862
BTMS202507,1,20.677654
BTMS202507,1,21.920572
BTMS202507,2,23.905201
BTMS202507,2,23.261824
BTMS202507,1,21.77895
BTMS202507,2,27.401055
BTMS202507,1,21.890706
BTMS202507,2,25.10183
BTMS202507,1,24.148936
BTMS202507,2,26.325641
BTMS202507,2,22.811506
BTMS202507,2,22.204727
BTMS202601,1,21.992825
BTMS202601,1,22.57518
BTMS202601,1,22.195445
BTMS202601,1,24.627785
BTMS202601,1,24.50099
BTMS202601,2,21.403105
BTMS202601,1,23.17607
BTMS202601,2,29.835855
BTMS202601,1,29.344365
BTMS202601,2,21.557395
BTMS202601,1,23.08246
BTMS202601,1,22.69079
BTMS202601,1,21.96468
BTMS202601,1,22.98166
BTMS202601,1,19.886455
BTMS202601,1,21.845725
BTMS202601,2,22.400424
BTMS202601,2,19.737143
BTMS202601,2,23.317041
BTMS202601,2,37.098085
BTMS202601,2,23.984122
BTMS202601,2,24.209014
BTMS202601,2,36.3015
BTMS202601,2,20.332323
BTMS202601,2,23.314712
BTMS202601,2,21.771463
BTMS202601,2,18.357912
BTMS202601,2,18.684237
BTMS202601,2,21.182044
BTMS202601,2,20.134625
BTMS202601,2,19.147482
BTMS202601,2,23.276448
BTMS202601,2,23.426242
BTMS202601,1,19.802826
BTMS202601,1,19.391557
BTMS202601,2,21.333616
BTMS202601,2,21.049524
BTMS202601,2,20.630549
BTMS202601,1,21.085934
BTMS202601,2,21.361477
BTMS202601,2,25.166582
BTMS202601,1,20.606442
BTMS202601,1,18.97117
BTMS202601,2,20.960466
BTMS202601,1,20.767432
BTMS202601,2,33.07232
BTMS202601,2,24.567
BTMS202601,2,26.190345
BTMS202601,2,26.218015
BTMS202601,2,25.98521
BTMS202601,1,25.21671
BTMS202601,1,23.347335
BTMS202601,1,23.58848
BTMS202601,1,22.71496
BTMS202601,2,24.822725
BTMS202601,2,26.20342
BTMS202601,1,25.67222
BTMS202601,1,22.90714
BTMS202601,1,22.460145
BTMS202601,1,21.98702
BTMS202601,1,23.876335
BTMS202601,2,23.127605
BTMS202601,1,22.51559
BTMS202601,1,22.982405
BTMS202601,1,24.641965
BTMS202601,1,23.25946
BTMS202601,2,21.262417
BTMS202601,2,24.243482
BTMS202601,1,21.504217
BTMS202601,2,20.67953
BTMS202601,2,20.160604
BTMS202601,2,21.286427
BTMS202601,2,24.066708
BTMS202601,2,33.63353
BTMS202601,2,21.192389
BTMS202601,2,21.684034
BTMS202601,2,29.690969
BTMS202601,2,27.319307
BTMS202601,2,20.822668
BTMS202601,2,21.749038
BTMS202601,2,25.869322
BTMS202601,2,23.899372
BTMS202601,2,19.602828
BTMS202601,2,19.924787
BTMS202601,2,21.305918
BTMS202601,2,20.791861
BTMS202601,2,28.110439
BTMS202601,2,23.445658
BTMS202601,2,29.395997
BTMS202601,2,25.793651
BTMS202601,2,20.785367
BTMS202601,2,22.166925
BTMS202601,2,21.223051
BTMS202601,2,19.931198
BTMS202601,2,23.397902
BTMS202601,2,22.038428
BTMS202601,1,20.004107
BTMS202601,2,21.126868
BTMS202601,2,21.906782
BTMS202601,2,21.199042
BTMS202601,1,20.823654
BTMS202601,2,35.371389
